projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,raw_status_text
Next Gen Shared File Phase 6,88,hint matched: phase 6,SCO-PROV-777 Amd SCO-PROV-710 PS for Next Gen SF Phase 6,158,V1,SIGNINGTIME,2026-02-04,2026-02-04,1,1,Feb 4/26 - Completed,Feb 4/26 - Adobe Sign,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Next Gen Shared File Phase 6"" -> ""SCO-PROV-777 Amd SCO-PROV-710 PS for Next Gen SF Phase 6"" (hint matched: phase 6, score 88).","Feb 4/26 - Completed
Feb 4/26 - Adobe Sign
Feb 4/26 - V2 sent to ESIT- AS
Jan 28/26 - V1 sent to Province
Jan 26/26 -  with Tyler
Jan 22/26 - with Yale Ashraff"
OpenShift GPU Enablement,100,token overlap 3/3,SCO-PROV-765 GPU Enablement on Openshift Pilot,146,V1,ADSL,2025-11-03,2025-11-24,22,16,Nov 3/25 - hold for further changes to SOW,Nov 24/25 - V1 sent to Province,,"Dec 10/25 - Adobe Sign
Dec 9/25 - V2 rec'd; V3 sent to Province
Nov 24/25 - V1 sent to Province
Nov 13/25 - with Rian / Cathy
Nov 4/25 - early start approved by Emma 
Nov 3/25 - hold for further changes to SOW"
OpenShift GPU Enablement,100,token overlap 3/3,SCO-PROV-765 GPU Enablement on Openshift Pilot,146,V2,CSBC,2025-11-25,2025-12-09,15,11,Next day after: Nov 24/25 - V1 sent to Province,Dec 9/25 - V2 rec'd; V3 sent to Province,,"Dec 10/25 - Adobe Sign
Dec 9/25 - V2 rec'd; V3 sent to Province
Nov 24/25 - V1 sent to Province
Nov 13/25 - with Rian / Cathy
Nov 4/25 - early start approved by Emma 
Nov 3/25 - hold for further changes to SOW"
OpenShift GPU Enablement,100,token overlap 3/3,SCO-PROV-765 GPU Enablement on Openshift Pilot,146,V2,SIGNINGTIME,2025-12-10,2025-12-10,1,1,Dec 10/25 - Adobe Sign,Dec 10/25 - Adobe Sign,,"Dec 10/25 - Adobe Sign
Dec 9/25 - V2 rec'd; V3 sent to Province
Nov 24/25 - V1 sent to Province
Nov 13/25 - with Rian / Cathy
Nov 4/25 - early start approved by Emma 
Nov 3/25 - hold for further changes to SOW"
OpenVMS Hardware Upgrade,67,token overlap 2/3,SCO-PROV-466 OpenVMS Custom Servers,10,V1,ADSL,2022-11-22,2022-11-28,7,5,Nov 22/22 - with Jen and Cathy for review,Nov 28/22 - SCO submitted to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""OpenVMS Hardware Upgrade"" -> ""SCO-PROV-466 OpenVMS Custom Servers"" (token overlap 2/3, score 67).","Dec 6/22 - Signed
Dec 5/22 - Final version sent to Province
Dec 3/22 - Moved to FINAL and sent to Sian/Serge for approval
Dec 3/22 - V4 recevied back from the Province
Dec 3/22 - V3 sent to Province
Dec 2/22 - Edits made, back with Lori/Cathy
Dec 1/22 - V2 back from Province, with Cathy/Lori C. for review
Nov 28/22 - SCO submitted to Province
Nov 28/22 with Sian for approval to submit to Province
Nov 25/22 - Followed up with vendor re: hardware availability, vendor confirmed
Nov 23/22 - hold on sending OpenVMS refresh to the Province, waiting to hear from vendor
Nov 22/22 - with Jen and Cathy for review"
OpenVMS Hardware Upgrade,67,token overlap 2/3,SCO-PROV-466 OpenVMS Custom Servers,10,V2,CSBC,2022-11-29,2022-12-01,3,3,Next day after: Nov 28/22 - SCO submitted to Province,"Dec 1/22 - V2 back from Province, with Cathy/Lori C. for review","Lori: please confirm this project/SCO mapping. This is an educated guess: ""OpenVMS Hardware Upgrade"" -> ""SCO-PROV-466 OpenVMS Custom Servers"" (token overlap 2/3, score 67).","Dec 6/22 - Signed
Dec 5/22 - Final version sent to Province
Dec 3/22 - Moved to FINAL and sent to Sian/Serge for approval
Dec 3/22 - V4 recevied back from the Province
Dec 3/22 - V3 sent to Province
Dec 2/22 - Edits made, back with Lori/Cathy
Dec 1/22 - V2 back from Province, with Cathy/Lori C. for review
Nov 28/22 - SCO submitted to Province
Nov 28/22 with Sian for approval to submit to Province
Nov 25/22 - Followed up with vendor re: hardware availability, vendor confirmed
Nov 23/22 - hold on sending OpenVMS refresh to the Province, waiting to hear from vendor
Nov 22/22 - with Jen and Cathy for review"
OpenVMS Hardware Upgrade,67,token overlap 2/3,SCO-PROV-466 OpenVMS Custom Servers,10,V3,ADSL,2022-12-02,2022-12-03,2,1,"Next day after: Dec 1/22 - V2 back from Province, with Cathy/Lori C. for review",Dec 3/22 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""OpenVMS Hardware Upgrade"" -> ""SCO-PROV-466 OpenVMS Custom Servers"" (token overlap 2/3, score 67).","Dec 6/22 - Signed
Dec 5/22 - Final version sent to Province
Dec 3/22 - Moved to FINAL and sent to Sian/Serge for approval
Dec 3/22 - V4 recevied back from the Province
Dec 3/22 - V3 sent to Province
Dec 2/22 - Edits made, back with Lori/Cathy
Dec 1/22 - V2 back from Province, with Cathy/Lori C. for review
Nov 28/22 - SCO submitted to Province
Nov 28/22 with Sian for approval to submit to Province
Nov 25/22 - Followed up with vendor re: hardware availability, vendor confirmed
Nov 23/22 - hold on sending OpenVMS refresh to the Province, waiting to hear from vendor
Nov 22/22 - with Jen and Cathy for review"
OpenVMS Hardware Upgrade,67,token overlap 2/3,SCO-PROV-466 OpenVMS Custom Servers,10,V3,SIGNINGTIME,2022-12-03,2022-12-06,4,2,Dec 3/22 - Moved to FINAL and sent to Sian/Serge for approval,Dec 6/22 - Signed,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""OpenVMS Hardware Upgrade"" -> ""SCO-PROV-466 OpenVMS Custom Servers"" (token overlap 2/3, score 67).","Dec 6/22 - Signed
Dec 5/22 - Final version sent to Province
Dec 3/22 - Moved to FINAL and sent to Sian/Serge for approval
Dec 3/22 - V4 recevied back from the Province
Dec 3/22 - V3 sent to Province
Dec 2/22 - Edits made, back with Lori/Cathy
Dec 1/22 - V2 back from Province, with Cathy/Lori C. for review
Nov 28/22 - SCO submitted to Province
Nov 28/22 with Sian for approval to submit to Province
Nov 25/22 - Followed up with vendor re: hardware availability, vendor confirmed
Nov 23/22 - hold on sending OpenVMS refresh to the Province, waiting to hear from vendor
Nov 22/22 - with Jen and Cathy for review"
PAW Implementation Phase 1,100,token overlap 1/1; hint matched: paw,SCO-PROV-729 PAW Phase 2b,107,V1,ADSL,2025-04-14,2025-04-17,4,4,Apr 14/25 - SOW approved,Apr 17/25 - V1 sent to Province,,"Apr 24/25 - Completed
Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
PAW Implementation Phase 1,100,token overlap 1/1; hint matched: paw,SCO-PROV-729 PAW Phase 2b,107,V1,SIGNINGTIME,2025-04-24,2025-04-24,1,1,Apr 24/25 - Completed,"Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign",,"Apr 24/25 - Completed
Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
PAW Implementation Phase 2B,100,token overlap 2/2,SCO-PROV-729 PAW Phase 2b,107,V1,ADSL,2025-04-14,2025-04-17,4,4,Apr 14/25 - SOW approved,Apr 17/25 - V1 sent to Province,,"Apr 24/25 - Completed
Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
PAW Implementation Phase 2B,100,token overlap 2/2,SCO-PROV-729 PAW Phase 2b,107,V1,SIGNINGTIME,2025-04-24,2025-04-24,1,1,Apr 24/25 - Completed,"Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign",,"Apr 24/25 - Completed
Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
PAW Implementation Phase 2a,74,token overlap 1/2; hint matched: paw,SCO-PROV-729 PAW Phase 2b,107,V1,ADSL,2025-04-14,2025-04-17,4,4,Apr 14/25 - SOW approved,Apr 17/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""PAW Implementation Phase 2a"" -> ""SCO-PROV-729 PAW Phase 2b"" (token overlap 1/2; hint matched: paw, score 74).","Apr 24/25 - Completed
Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
PAW Implementation Phase 2a,74,token overlap 1/2; hint matched: paw,SCO-PROV-729 PAW Phase 2b,107,V1,SIGNINGTIME,2025-04-24,2025-04-24,1,1,Apr 24/25 - Completed,"Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign","Lori: please confirm this project/SCO mapping. This is an educated guess: ""PAW Implementation Phase 2a"" -> ""SCO-PROV-729 PAW Phase 2b"" (token overlap 1/2; hint matched: paw, score 74).","Apr 24/25 - Completed
Apr 24/25 - Province sent back V2, moved to Final, sent via AdobeSign
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
Patch Management Phase 2,100,token overlap 2/2,SCO-PROV-472 Patch Management Phase 1b,16,V1,ADSL,2022-11-30,2022-12-13,14,10,Nov 30/22 - SOW with Sian,Dec 13/22 - Sent to Province,,"Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 2,100,token overlap 2/2,SCO-PROV-472 Patch Management Phase 1b,16,V2,CSBC,2022-12-14,2023-01-03,21,15,Next day after: Dec 13/22 - Sent to Province,Jan 3/23 - V3 in Draft with Jen,,"Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 2,100,token overlap 2/2,SCO-PROV-472 Patch Management Phase 1b,16,V3,ADSL,2023-01-03,2023-01-04,2,2,Jan 3/23 - V3 in Draft with Jen,Jan 4/23 - V3 sent to Province,,"Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 2,100,token overlap 2/2,SCO-PROV-472 Patch Management Phase 1b,16,V4,CSBC,2023-01-05,2023-01-25,21,15,Next day after: Jan 4/23 - V3 sent to Province,Jan 25/23 - With Cathy,Lori: inferred handoff to ADSL from internal ADSL work line; please confirm.,"Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 2,100,token overlap 2/2,SCO-PROV-472 Patch Management Phase 1b,16,V5,ADSL,2023-01-25,2023-01-31,7,5,Jan 25/23 - With Cathy,Jan 31/23 - V5 sent to Province,,"Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 2,100,token overlap 2/2,SCO-PROV-472 Patch Management Phase 1b,16,V6,CSBC,2023-02-01,2023-02-07,7,5,Next day after: Jan 31/23 - V5 sent to Province,Feb 7/23 - With Sian,Lori: inferred handoff to ADSL from internal ADSL work line; please confirm.,"Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 2,100,token overlap 2/2,SCO-PROV-472 Patch Management Phase 1b,16,V6,SIGNINGTIME,2023-02-06,2023-02-09,4,4,Feb 6/23 - Province agreed to move to signature,Feb 9/23 - Signed,,"Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 2,100,project phrase appears,SCO-PROV-482 Patch Management Phase 2,26,V1,ADSL,2023-01-25,2023-01-27,3,3,Jan 25/23 - With Jen to draft,Jan 27/23 - Sent to Province,,"Feb 16/23 - Completed
Feb 16/23 - Final sent to Province for signature
Feb 15/23 - With Sian for signature approval
Feb 13/23 - Province requested to move to Final
Feb 8/23 - V3 Sent to Province
Feb 8/23 - With Cathy/Lori
Feb 3/23 - V2 back from Province with comments
Jan 27/23 - Sent to Province
Jan 27/23 - With Sian
Jan 26/23 - With Lori/Cathy for review
Jan 26/23 - Requested pricing table from Cathy
Jan 25/23 - With Jen to draft"
Patch Management Phase 2,100,project phrase appears,SCO-PROV-482 Patch Management Phase 2,26,V2,CSBC,2023-01-28,2023-02-03,7,5,Next day after: Jan 27/23 - Sent to Province,Feb 3/23 - V2 back from Province with comments,,"Feb 16/23 - Completed
Feb 16/23 - Final sent to Province for signature
Feb 15/23 - With Sian for signature approval
Feb 13/23 - Province requested to move to Final
Feb 8/23 - V3 Sent to Province
Feb 8/23 - With Cathy/Lori
Feb 3/23 - V2 back from Province with comments
Jan 27/23 - Sent to Province
Jan 27/23 - With Sian
Jan 26/23 - With Lori/Cathy for review
Jan 26/23 - Requested pricing table from Cathy
Jan 25/23 - With Jen to draft"
Patch Management Phase 2,100,project phrase appears,SCO-PROV-482 Patch Management Phase 2,26,V3,ADSL,2023-02-04,2023-02-08,5,3,Next day after: Feb 3/23 - V2 back from Province with comments,Feb 8/23 - V3 Sent to Province,,"Feb 16/23 - Completed
Feb 16/23 - Final sent to Province for signature
Feb 15/23 - With Sian for signature approval
Feb 13/23 - Province requested to move to Final
Feb 8/23 - V3 Sent to Province
Feb 8/23 - With Cathy/Lori
Feb 3/23 - V2 back from Province with comments
Jan 27/23 - Sent to Province
Jan 27/23 - With Sian
Jan 26/23 - With Lori/Cathy for review
Jan 26/23 - Requested pricing table from Cathy
Jan 25/23 - With Jen to draft"
Patch Management Phase 2,100,project phrase appears,SCO-PROV-482 Patch Management Phase 2,26,V3,SIGNINGTIME,2023-02-13,2023-02-16,4,4,Feb 13/23 - Province requested to move to Final,Feb 16/23 - Final sent to Province for signature,,"Feb 16/23 - Completed
Feb 16/23 - Final sent to Province for signature
Feb 15/23 - With Sian for signature approval
Feb 13/23 - Province requested to move to Final
Feb 8/23 - V3 Sent to Province
Feb 8/23 - With Cathy/Lori
Feb 3/23 - V2 back from Province with comments
Jan 27/23 - Sent to Province
Jan 27/23 - With Sian
Jan 26/23 - With Lori/Cathy for review
Jan 26/23 - Requested pricing table from Cathy
Jan 25/23 - With Jen to draft"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-472 Patch Management Phase 1b,16,V1,ADSL,2022-11-30,2022-12-13,14,10,Nov 30/22 - SOW with Sian,Dec 13/22 - Sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-472 Patch Management Phase 1b"" (token overlap 2/3; hint matched: patch, score 88).","Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-472 Patch Management Phase 1b,16,V2,CSBC,2022-12-14,2023-01-03,21,15,Next day after: Dec 13/22 - Sent to Province,Jan 3/23 - V3 in Draft with Jen,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-472 Patch Management Phase 1b"" (token overlap 2/3; hint matched: patch, score 88).","Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-472 Patch Management Phase 1b,16,V3,ADSL,2023-01-03,2023-01-04,2,2,Jan 3/23 - V3 in Draft with Jen,Jan 4/23 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-472 Patch Management Phase 1b"" (token overlap 2/3; hint matched: patch, score 88).","Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-472 Patch Management Phase 1b,16,V4,CSBC,2023-01-05,2023-01-25,21,15,Next day after: Jan 4/23 - V3 sent to Province,Jan 25/23 - With Cathy,"Lori: inferred handoff to ADSL from internal ADSL work line; please confirm. Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-472 Patch Management Phase 1b"" (token overlap 2/3; hint matched: patch, score 88).","Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-472 Patch Management Phase 1b,16,V5,ADSL,2023-01-25,2023-01-31,7,5,Jan 25/23 - With Cathy,Jan 31/23 - V5 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-472 Patch Management Phase 1b"" (token overlap 2/3; hint matched: patch, score 88).","Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-472 Patch Management Phase 1b,16,V6,CSBC,2023-02-01,2023-02-07,7,5,Next day after: Jan 31/23 - V5 sent to Province,Feb 7/23 - With Sian,"Lori: inferred handoff to ADSL from internal ADSL work line; please confirm. Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-472 Patch Management Phase 1b"" (token overlap 2/3; hint matched: patch, score 88).","Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-472 Patch Management Phase 1b,16,V6,SIGNINGTIME,2023-02-06,2023-02-09,4,4,Feb 6/23 - Province agreed to move to signature,Feb 9/23 - Signed,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-472 Patch Management Phase 1b"" (token overlap 2/3; hint matched: patch, score 88).","Feb 9/23 - Signed
Feb 8/23 - WIth Province for signature
Feb 7/23 - With Sian
Feb 6/23 - Province agreed to move to signature
Jan 31/23 - V5 sent to Province
Jan 25/23 - With Cathy
Jan 20/23 - V4 received from the Province
Jan 4/23 - V3 sent to Province
Jan 3/23 - V3 in Draft with Jen
Dec 22/22 - V2 received from Province 
Dec 13/22 - Sent to Province
Dec 6/22 - with Sian for review
Dec 6/22 - with Cathy for review
Nov 30/22 - SOW with Sian"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-482 Patch Management Phase 2,26,V1,ADSL,2023-01-25,2023-01-27,3,3,Jan 25/23 - With Jen to draft,Jan 27/23 - Sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-482 Patch Management Phase 2"" (token overlap 2/3; hint matched: patch, score 88).","Feb 16/23 - Completed
Feb 16/23 - Final sent to Province for signature
Feb 15/23 - With Sian for signature approval
Feb 13/23 - Province requested to move to Final
Feb 8/23 - V3 Sent to Province
Feb 8/23 - With Cathy/Lori
Feb 3/23 - V2 back from Province with comments
Jan 27/23 - Sent to Province
Jan 27/23 - With Sian
Jan 26/23 - With Lori/Cathy for review
Jan 26/23 - Requested pricing table from Cathy
Jan 25/23 - With Jen to draft"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-482 Patch Management Phase 2,26,V2,CSBC,2023-01-28,2023-02-03,7,5,Next day after: Jan 27/23 - Sent to Province,Feb 3/23 - V2 back from Province with comments,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-482 Patch Management Phase 2"" (token overlap 2/3; hint matched: patch, score 88).","Feb 16/23 - Completed
Feb 16/23 - Final sent to Province for signature
Feb 15/23 - With Sian for signature approval
Feb 13/23 - Province requested to move to Final
Feb 8/23 - V3 Sent to Province
Feb 8/23 - With Cathy/Lori
Feb 3/23 - V2 back from Province with comments
Jan 27/23 - Sent to Province
Jan 27/23 - With Sian
Jan 26/23 - With Lori/Cathy for review
Jan 26/23 - Requested pricing table from Cathy
Jan 25/23 - With Jen to draft"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-482 Patch Management Phase 2,26,V3,ADSL,2023-02-04,2023-02-08,5,3,Next day after: Feb 3/23 - V2 back from Province with comments,Feb 8/23 - V3 Sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-482 Patch Management Phase 2"" (token overlap 2/3; hint matched: patch, score 88).","Feb 16/23 - Completed
Feb 16/23 - Final sent to Province for signature
Feb 15/23 - With Sian for signature approval
Feb 13/23 - Province requested to move to Final
Feb 8/23 - V3 Sent to Province
Feb 8/23 - With Cathy/Lori
Feb 3/23 - V2 back from Province with comments
Jan 27/23 - Sent to Province
Jan 27/23 - With Sian
Jan 26/23 - With Lori/Cathy for review
Jan 26/23 - Requested pricing table from Cathy
Jan 25/23 - With Jen to draft"
Patch Management Phase 3A,88,token overlap 2/3; hint matched: patch,SCO-PROV-482 Patch Management Phase 2,26,V3,SIGNINGTIME,2023-02-13,2023-02-16,4,4,Feb 13/23 - Province requested to move to Final,Feb 16/23 - Final sent to Province for signature,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Patch Management Phase 3A"" -> ""SCO-PROV-482 Patch Management Phase 2"" (token overlap 2/3; hint matched: patch, score 88).","Feb 16/23 - Completed
Feb 16/23 - Final sent to Province for signature
Feb 15/23 - With Sian for signature approval
Feb 13/23 - Province requested to move to Final
Feb 8/23 - V3 Sent to Province
Feb 8/23 - With Cathy/Lori
Feb 3/23 - V2 back from Province with comments
Jan 27/23 - Sent to Province
Jan 27/23 - With Sian
Jan 26/23 - With Lori/Cathy for review
Jan 26/23 - Requested pricing table from Cathy
Jan 25/23 - With Jen to draft"
